Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Idle Mean,Label
192.168.1.74-183.60.184.167-53257-53-17,192.168.1.74,53257,183.60.184.167,53,17,07/07/2026 09:00:00,557643.3704087243,11,16,2755.0361174633413,10858.843095495204,375.68674329045564,100.18313154412151,250.45782886030375,1018.0165402026753,203.60330804053507,678.6776934684502,24413.236013153466,48.41804176782443,21447.82193879709,8579.128775518837,334586.0222452346,11152.867408174487,501879.03336785187,446114.69632697944,1,0,0,0,220,320,19.725868868372917,28.692172899451514,100.18313154412151,1018.0165402026753,504.2177486280943,214.10993230407325,1,0,0,2,0,0,1.4545454545454546,504.2177486280943,250.45782886030375,678.6776934684502,11,2755.0361174633413,16,10858.843095495204,29200,0,9,20,55764.33704087243,111528.67408174486,BENIGN
192.168.1.74-189.112.93.57-14059-6667-6,192.168.1.74,14059,189.112.93.57,6667,6,07/07/2026 09:00:00,369425.9728309324,17,9,1676.4707088027815,651.2597176131861,147.92388607083365,39.44636961888898,98.61592404722244,108.54328626886435,21.70865725377287,72.36219084590957,6300.938747155312,70.37945870659962,14777.038913237297,5910.815565294919,221655.58369855944,7388.519456618648,332483.37554783915,295540.77826474595,1,0,0,0,340,180,46.017338385084365,24.362120321515253,21.70865725377287,147.92388607083365,89.52809332369105,13.126866600656435,0,1,0,2,26,0,0.5294117647058824,89.52809332369105,98.61592404722244,72.36219084590957,17,1676.4707088027815,9,651.2597176131861,65535,0,15,20,36942.597283093244,73885.19456618649,Botnet
134.100.54.172-192.168.1.5-50995-80-6,134.100.54.172,50995,192.168.1.5,80,6,07/07/2026 09:00:00,8938.95415218562,367,1,128790.24222526018,22.435262820768816,526.3906357980661,140.37083621281764,350.9270905320441,33.652894231153226,6.730578846230645,22.435262820768816,14410262.687899074,41168.127024124195,24.356823302958095,9.742729321183239,5363.372491311372,178.77908304371243,8045.058736967059,7151.163321748497,1,0,0,0,7340,20,41056.25711373255,111.86991039164182,6.730578846230645,526.3906357980661,350.0344496958722,164.24591385563764,0,330,1,1,4,0,0.0027247956403269754,350.0344496958722,350.9270905320441,22.435262820768816,367,128790.24222526018,1,22.435262820768816,65535,29200,365,20,893.8954152185621,1787.7908304371242,DDoS
192.168.1.30-141.236.235.165-58282-22-6,192.168.1.30,58282,141.236.235.165,22,6,07/07/2026 09:00:01,189750.52592881228,17,12,5227.551518907844,7683.234356230918,461.25454578598624,123.00121220959635,307.50303052399084,960.4042945288647,192.08085890577294,640.2695296859098,68040.8436916925,152.83225096767205,6776.804497457581,2710.721798983033,113850.31555728737,3795.0105185762454,170775.47333593105,151800.42074304982,0,0,0,0,340,240,89.59131953277327,63.240931434898776,123.00121220959635,960.4042945288647,445.19951293581937,166.38324958095947,1,1,0,0,28,0,0.7058823529411765,445.19951293581937,307.50303052399084,640.2695296859098,17,5227.551518907844,12,7683.234356230918,8192,8192,15,20,18975.052592881228,37950.105185762455,BENIGN
192.168.1.10-189.112.93.57-43389-8080-6,192.168.1.10,43389,189.112.93.57,8080,6,07/07/2026 09:00:01,1235378.6548290208,9,18,1190.7447391885726,8353.760903307324,198.45745653142876,52.921988408381004,132.3049710209525,696.146741942277,139.22934838845538,464.09782796151796,7725.975841647415,21.855647168953926,47514.563647270035,19005.825458908013,741227.1928974125,24707.573096580418,1111840.7893461187,988302.9238632168,1,0,0,0,180,360,7.285215722984642,14.570431445969284,52.921988408381004,696.146741942277,353.5002089813295,165.89642847028273,1,1,0,1,26,0,2.0,353.5002089813295,132.3049710209525,464.09782796151796,9,1190.7447391885726,18,8353.760903307324,65535,29200,7,20,123537.8654829021,247075.7309658042,BENIGN
192.168.1.12-179.117.57.115-44662-53-17,192.168.1.12,44662,179.117.57.115,53,17,07/07/2026 09:00:02,231026.21715393304,11,16,2598.921525563206,9530.70364695663,354.39838984952814,94.5062372932075,236.26559323301876,893.5034669021841,178.7006933804368,595.6689779347894,52503.2410691201,116.8698528358358,8885.623736689733,3554.2494946758934,138615.73029235983,4620.524343078661,207923.59543853975,184820.97372314645,1,0,0,0,220,320,47.613643747933104,69.2562090879027,94.5062372932075,893.5034669021841,449.2453767599939,179.7016923508853,1,0,0,2,0,0,1.4545454545454546,449.2453767599939,236.26559323301876,595.6689779347894,11,2598.921525563206,16,9530.70364695663,65535,29200,9,20,23102.621715393307,46205.24343078661,BENIGN
192.168.1.40-179.32.152.109-40660-22-6,192.168.1.40,40660,179.32.152.109,22,6,07/07/2026 09:00:02,359268.1216099233,16,16,5576.256870419404,16043.383808021497,522.774081601819,139.4064217604851,348.5160544012127,1504.0672320020153,300.81344640040305,1002.7114880013436,60176.89680220085,89.06996773497237,11589.294245481397,4635.717698192559,215560.87296595398,7185.362432198466,323341.309448931,287414.49728793866,1,0,0,0,320,320,44.53498386748618,44.53498386748618,139.4064217604851,1504.0672320020153,675.6137712012782,327.0977168000654,1,1,0,1,31,0,1.0,675.6137712012782,348.5160544012127,1002.7114880013436,16,5576.256870419404,16,16043.383808021497,65535,8192,14,20,35926.81216099233,71853.62432198467,BENIGN
99.139.155.7-192.168.1.6-32806-21-6,99.139.155.7,32806,192.168.1.6,21,6,07/07/2026 09:00:02,171211.06527236028,19,21,3325.4990025190664,3072.051581552758,262.5393949357158,70.01050531619087,175.02626329047717,219.432255825197,43.8864511650394,146.28817055013133,37366.45510554289,233.62975948060677,4390.027314675905,1756.010925870362,102726.63916341617,3424.221305447206,154089.95874512426,136968.85221788823,1,0,0,0,380,420,110.97413575328821,122.65562372731854,43.8864511650394,262.5393949357158,159.9387646017956,14.369046370172924,0,1,1,11,40,0,1.105263157894737,159.9387646017956,175.02626329047717,146.28817055013133,19,3325.4990025190664,21,3072.051581552758,8192,29200,17,20,17121.10652723603,34242.21305447206,BruteForce
48.17.24.56-192.168.1.5-65117-80-6,48.17.24.56,65117,192.168.1.5,80,6,07/07/2026 09:00:03,12691.493005843624,236,0,204078.14784698092,0.0,1297.106871908777,345.8951658423406,864.7379146058514,34.705216157908325,6.941043231581665,23.136810771938883,16079916.504150925,18595.13296751903,54.00635321635585,21.60254128654234,7614.895803506174,253.82986011687248,11422.343705259262,10153.1944046749,1,0,0,0,4720,0,18595.13296751903,0.0,6.941043231581665,1297.106871908777,864.7379146058514,420.80055191695624,0,212,1,1,4,0,0.0,864.7379146058514,864.7379146058514,23.136810771938883,236,204078.14784698092,0,0.0,29200,0,234,20,1269.1493005843624,2538.298601168725,DDoS
151.50.117.1-192.168.1.5-35935-80-6,151.50.117.1,35935,192.168.1.5,80,6,07/07/2026 09:00:03,4176.541812110398,362,3,141796.7722644028,1.4975896008945622,587.5556861784646,156.68151631425724,391.7037907856431,0.7487948004472811,0.14975896008945622,0.4991965336315207,33951119.42680476,87392.87583369511,11.474015967336257,4.589606386934503,2505.9250872662383,83.53083624220795,3758.887630899358,3341.233449688318,1,0,0,0,7240,60,86674.5782241031,718.2976095920146,0.14975896008945622,587.5556861784646,388.4884105589142,195.6022971260058,0,325,0,1,2,0,0.008287292817679558,388.4884105589142,391.7037907856431,0.4991965336315207,362,141796.7722644028,3,1.4975896008945622,65535,0,360,20,417.65418121103977,835.3083624220795,DDoS
